name,original_path,encoded_path
eelektross,pokemon\images\eelektross.png,pokemon_distorted\eelektross.png
eevee,pokemon\images\eevee.png,pokemon_distorted\eevee.png
ekans,pokemon\images\ekans.png,pokemon_distorted\ekans.png
electabuzz,pokemon\images\electabuzz.png,pokemon_distorted\electabuzz.png
electivire,pokemon\images\electivire.png,pokemon_distorted\electivire.png
electrike,pokemon\images\electrike.png,pokemon_distorted\electrike.png
electrode,pokemon\images\electrode.png,pokemon_distorted\electrode.png
elekid,pokemon\images\elekid.png,pokemon_distorted\elekid.png
elgyem,pokemon\images\elgyem.png,pokemon_distorted\elgyem.png
emboar,pokemon\images\emboar.png,pokemon_distorted\emboar.png
emolga,pokemon\images\emolga.png,pokemon_distorted\emolga.png
empoleon,pokemon\images\empoleon.png,pokemon_distorted\empoleon.png
entei,pokemon\images\entei.png,pokemon_distorted\entei.png
escavalier,pokemon\images\escavalier.png,pokemon_distorted\escavalier.png
espeon,pokemon\images\espeon.png,pokemon_distorted\espeon.png
espurr,pokemon\images\espurr.png,pokemon_distorted\espurr.png
excadrill,pokemon\images\excadrill.png,pokemon_distorted\excadrill.png
exeggcute,pokemon\images\exeggcute.png,pokemon_distorted\exeggcute.png
exeggutor,pokemon\images\exeggutor.png,pokemon_distorted\exeggutor.png
exploud,pokemon\images\exploud.png,pokemon_distorted\exploud.png
farfetchd,pokemon\images\farfetchd.png,pokemon_distorted\farfetchd.png
fearow,pokemon\images\fearow.png,pokemon_distorted\fearow.png
feebas,pokemon\images\feebas.png,pokemon_distorted\feebas.png
fennekin,pokemon\images\fennekin.png,pokemon_distorted\fennekin.png
feraligatr,pokemon\images\feraligatr.png,pokemon_distorted\feraligatr.png
ferroseed,pokemon\images\ferroseed.png,pokemon_distorted\ferroseed.png
ferrothorn,pokemon\images\ferrothorn.png,pokemon_distorted\ferrothorn.png
finneon,pokemon\images\finneon.png,pokemon_distorted\finneon.png
flaaffy,pokemon\images\flaaffy.png,pokemon_distorted\flaaffy.png
flabebe,pokemon\images\flabebe.png,pokemon_distorted\flabebe.png
flareon,pokemon\images\flareon.png,pokemon_distorted\flareon.png
fletchinder,pokemon\images\fletchinder.png,pokemon_distorted\fletchinder.png
fletchling,pokemon\images\fletchling.png,pokemon_distorted\fletchling.png
floatzel,pokemon\images\floatzel.png,pokemon_distorted\floatzel.png
floette,pokemon\images\floette.png,pokemon_distorted\floette.png
florges,pokemon\images\florges.png,pokemon_distorted\florges.png
flygon,pokemon\images\flygon.png,pokemon_distorted\flygon.png
fomantis,pokemon\images\fomantis.png,pokemon_distorted\fomantis.png
foongus,pokemon\images\foongus.png,pokemon_distorted\foongus.png
forretress,pokemon\images\forretress.png,pokemon_distorted\forretress.png
fraxure,pokemon\images\fraxure.png,pokemon_distorted\fraxure.png
frillish,pokemon\images\frillish.png,pokemon_distorted\frillish.png
froakie,pokemon\images\froakie.png,pokemon_distorted\froakie.png
frogadier,pokemon\images\frogadier.png,pokemon_distorted\frogadier.png
froslass,pokemon\images\froslass.png,pokemon_distorted\froslass.png
furfrou,pokemon\images\furfrou.png,pokemon_distorted\furfrou.png
furret,pokemon\images\furret.png,pokemon_distorted\furret.png
gabite,pokemon\images\gabite.png,pokemon_distorted\gabite.png
gallade,pokemon\images\gallade.png,pokemon_distorted\gallade.png
galvantula,pokemon\images\galvantula.png,pokemon_distorted\galvantula.png
garbodor,pokemon\images\garbodor.png,pokemon_distorted\garbodor.png
garchomp,pokemon\images\garchomp.png,pokemon_distorted\garchomp.png
gardevoir,pokemon\images\gardevoir.png,pokemon_distorted\gardevoir.png
gastly,pokemon\images\gastly.png,pokemon_distorted\gastly.png
gastrodon,pokemon\images\gastrodon.png,pokemon_distorted\gastrodon.png
genesect,pokemon\images\genesect.png,pokemon_distorted\genesect.png
gengar,pokemon\images\gengar.png,pokemon_distorted\gengar.png
geodude,pokemon\images\geodude.png,pokemon_distorted\geodude.png
gible,pokemon\images\gible.png,pokemon_distorted\gible.png
gigalith,pokemon\images\gigalith.png,pokemon_distorted\gigalith.png
girafarig,pokemon\images\girafarig.png,pokemon_distorted\girafarig.png
giratina-altered,pokemon\images\giratina-altered.png,pokemon_distorted\giratina-altered.png
glaceon,pokemon\images\glaceon.png,pokemon_distorted\glaceon.png
glalie,pokemon\images\glalie.png,pokemon_distorted\glalie.png
glameow,pokemon\images\glameow.png,pokemon_distorted\glameow.png
gligar,pokemon\images\gligar.png,pokemon_distorted\gligar.png
gliscor,pokemon\images\gliscor.png,pokemon_distorted\gliscor.png
gloom,pokemon\images\gloom.png,pokemon_distorted\gloom.png
gogoat,pokemon\images\gogoat.png,pokemon_distorted\gogoat.png
golbat,pokemon\images\golbat.png,pokemon_distorted\golbat.png
goldeen,pokemon\images\goldeen.png,pokemon_distorted\goldeen.png
golduck,pokemon\images\golduck.png,pokemon_distorted\golduck.png
golem,pokemon\images\golem.png,pokemon_distorted\golem.png
golett,pokemon\images\golett.png,pokemon_distorted\golett.png
golisopod,pokemon\images\golisopod.png,pokemon_distorted\golisopod.png
golurk,pokemon\images\golurk.png,pokemon_distorted\golurk.png
goodra,pokemon\images\goodra.png,pokemon_distorted\goodra.png
goomy,pokemon\images\goomy.png,pokemon_distorted\goomy.png
gorebyss,pokemon\images\gorebyss.png,pokemon_distorted\gorebyss.png
gothita,pokemon\images\gothita.png,pokemon_distorted\gothita.png
gothitelle,pokemon\images\gothitelle.png,pokemon_distorted\gothitelle.png
gothorita,pokemon\images\gothorita.png,pokemon_distorted\gothorita.png
gourgeist-average,pokemon\images\gourgeist-average.png,pokemon_distorted\gourgeist-average.png
granbull,pokemon\images\granbull.png,pokemon_distorted\granbull.png
graveler,pokemon\images\graveler.png,pokemon_distorted\graveler.png
greninja,pokemon\images\greninja.png,pokemon_distorted\greninja.png
grimer,pokemon\images\grimer.png,pokemon_distorted\grimer.png
grotle,pokemon\images\grotle.png,pokemon_distorted\grotle.png
groudon,pokemon\images\groudon.png,pokemon_distorted\groudon.png
grovyle,pokemon\images\grovyle.png,pokemon_distorted\grovyle.png
growlithe,pokemon\images\growlithe.png,pokemon_distorted\growlithe.png
grubbin,pokemon\images\grubbin.png,pokemon_distorted\grubbin.png
grumpig,pokemon\images\grumpig.png,pokemon_distorted\grumpig.png
gulpin,pokemon\images\gulpin.png,pokemon_distorted\gulpin.png
gumshoos,pokemon\images\gumshoos.png,pokemon_distorted\gumshoos.png
gurdurr,pokemon\images\gurdurr.png,pokemon_distorted\gurdurr.png
guzzlord,pokemon\images\guzzlord.png,pokemon_distorted\guzzlord.png
gyarados,pokemon\images\gyarados.png,pokemon_distorted\gyarados.png
hakamo-o,pokemon\images\hakamo-o.png,pokemon_distorted\hakamo-o.png
happiny,pokemon\images\happiny.png,pokemon_distorted\happiny.png
hariyama,pokemon\images\hariyama.png,pokemon_distorted\hariyama.png
haunter,pokemon\images\haunter.png,pokemon_distorted\haunter.png
hawlucha,pokemon\images\hawlucha.png,pokemon_distorted\hawlucha.png
haxorus,pokemon\images\haxorus.png,pokemon_distorted\haxorus.png
heatmor,pokemon\images\heatmor.png,pokemon_distorted\heatmor.png
heatran,pokemon\images\heatran.png,pokemon_distorted\heatran.png
heliolisk,pokemon\images\heliolisk.png,pokemon_distorted\heliolisk.png
helioptile,pokemon\images\helioptile.png,pokemon_distorted\helioptile.png
heracross,pokemon\images\heracross.png,pokemon_distorted\heracross.png
herdier,pokemon\images\herdier.png,pokemon_distorted\herdier.png
hippopotas,pokemon\images\hippopotas.png,pokemon_distorted\hippopotas.png
hippowdon,pokemon\images\hippowdon.png,pokemon_distorted\hippowdon.png
hitmonchan,pokemon\images\hitmonchan.png,pokemon_distorted\hitmonchan.png
hitmonlee,pokemon\images\hitmonlee.png,pokemon_distorted\hitmonlee.png
hitmontop,pokemon\images\hitmontop.png,pokemon_distorted\hitmontop.png
ho-oh,pokemon\images\ho-oh.png,pokemon_distorted\ho-oh.png
honchkrow,pokemon\images\honchkrow.png,pokemon_distorted\honchkrow.png
honedge,pokemon\images\honedge.png,pokemon_distorted\honedge.png
hoopa-confined,pokemon\images\hoopa-confined.png,pokemon_distorted\hoopa-confined.png
hoothoot,pokemon\images\hoothoot.png,pokemon_distorted\hoothoot.png
hoppip,pokemon\images\hoppip.png,pokemon_distorted\hoppip.png
horsea,pokemon\images\horsea.png,pokemon_distorted\horsea.png
houndoom,pokemon\images\houndoom.png,pokemon_distorted\houndoom.png
houndour,pokemon\images\houndour.png,pokemon_distorted\houndour.png
huntail,pokemon\images\huntail.png,pokemon_distorted\huntail.png
hydreigon,pokemon\images\hydreigon.png,pokemon_distorted\hydreigon.png
hypno,pokemon\images\hypno.png,pokemon_distorted\hypno.png
igglybuff,pokemon\images\igglybuff.png,pokemon_distorted\igglybuff.png
illumise,pokemon\images\illumise.png,pokemon_distorted\illumise.png
incineroar,pokemon\images\incineroar.png,pokemon_distorted\incineroar.png
infernape,pokemon\images\infernape.png,pokemon_distorted\infernape.png
inkay,pokemon\images\inkay.png,pokemon_distorted\inkay.png
ivysaur,pokemon\images\ivysaur.png,pokemon_distorted\ivysaur.png
jangmo-o,pokemon\images\jangmo-o.png,pokemon_distorted\jangmo-o.png
jellicent,pokemon\images\jellicent.png,pokemon_distorted\jellicent.png
jigglypuff,pokemon\images\jigglypuff.png,pokemon_distorted\jigglypuff.png
jirachi,pokemon\images\jirachi.png,pokemon_distorted\jirachi.png
jolteon,pokemon\images\jolteon.png,pokemon_distorted\jolteon.png
joltik,pokemon\images\joltik.png,pokemon_distorted\joltik.png
jumpluff,pokemon\images\jumpluff.png,pokemon_distorted\jumpluff.png
jynx,pokemon\images\jynx.png,pokemon_distorted\jynx.png
kabuto,pokemon\images\kabuto.png,pokemon_distorted\kabuto.png
kabutops,pokemon\images\kabutops.png,pokemon_distorted\kabutops.png
kadabra,pokemon\images\kadabra.png,pokemon_distorted\kadabra.png
kakuna,pokemon\images\kakuna.png,pokemon_distorted\kakuna.png
kangaskhan,pokemon\images\kangaskhan.png,pokemon_distorted\kangaskhan.png
karrablast,pokemon\images\karrablast.png,pokemon_distorted\karrablast.png
kartana,pokemon\images\kartana.png,pokemon_distorted\kartana.png
kecleon,pokemon\images\kecleon.png,pokemon_distorted\kecleon.png
keldeo-ordinary,pokemon\images\keldeo-ordinary.png,pokemon_distorted\keldeo-ordinary.png
kingdra,pokemon\images\kingdra.png,pokemon_distorted\kingdra.png
kingler,pokemon\images\kingler.png,pokemon_distorted\kingler.png
kirlia,pokemon\images\kirlia.png,pokemon_distorted\kirlia.png
klang,pokemon\images\klang.png,pokemon_distorted\klang.png
klefki,pokemon\images\klefki.png,pokemon_distorted\klefki.png
klink,pokemon\images\klink.png,pokemon_distorted\klink.png
klinklang,pokemon\images\klinklang.png,pokemon_distorted\klinklang.png
koffing,pokemon\images\koffing.png,pokemon_distorted\koffing.png
komala,pokemon\images\komala.png,pokemon_distorted\komala.png
kommo-o,pokemon\images\kommo-o.png,pokemon_distorted\kommo-o.png
krabby,pokemon\images\krabby.png,pokemon_distorted\krabby.png
kricketot,pokemon\images\kricketot.png,pokemon_distorted\kricketot.png
kricketune,pokemon\images\kricketune.png,pokemon_distorted\kricketune.png
krokorok,pokemon\images\krokorok.png,pokemon_distorted\krokorok.png
krookodile,pokemon\images\krookodile.png,pokemon_distorted\krookodile.png
kyogre,pokemon\images\kyogre.png,pokemon_distorted\kyogre.png
kyurem,pokemon\images\kyurem.png,pokemon_distorted\kyurem.png
lairon,pokemon\images\lairon.png,pokemon_distorted\lairon.png
lampent,pokemon\images\lampent.png,pokemon_distorted\lampent.png
landorus-incarnate,pokemon\images\landorus-incarnate.png,pokemon_distorted\landorus-incarnate.png
lanturn,pokemon\images\lanturn.png,pokemon_distorted\lanturn.png
lapras,pokemon\images\lapras.png,pokemon_distorted\lapras.png
larvesta,pokemon\images\larvesta.png,pokemon_distorted\larvesta.png
larvitar,pokemon\images\larvitar.png,pokemon_distorted\larvitar.png
latias,pokemon\images\latias.png,pokemon_distorted\latias.png
latios,pokemon\images\latios.png,pokemon_distorted\latios.png
leafeon,pokemon\images\leafeon.png,pokemon_distorted\leafeon.png
leavanny,pokemon\images\leavanny.png,pokemon_distorted\leavanny.png
ledian,pokemon\images\ledian.png,pokemon_distorted\ledian.png
ledyba,pokemon\images\ledyba.png,pokemon_distorted\ledyba.png
lickilicky,pokemon\images\lickilicky.png,pokemon_distorted\lickilicky.png
lickitung,pokemon\images\lickitung.png,pokemon_distorted\lickitung.png
liepard,pokemon\images\liepard.png,pokemon_distorted\liepard.png
lileep,pokemon\images\lileep.png,pokemon_distorted\lileep.png
lilligant,pokemon\images\lilligant.png,pokemon_distorted\lilligant.png
lillipup,pokemon\images\lillipup.png,pokemon_distorted\lillipup.png
linoone,pokemon\images\linoone.png,pokemon_distorted\linoone.png
litleo,pokemon\images\litleo.png,pokemon_distorted\litleo.png
litten,pokemon\images\litten.png,pokemon_distorted\litten.png
litwick,pokemon\images\litwick.png,pokemon_distorted\litwick.png
lombre,pokemon\images\lombre.png,pokemon_distorted\lombre.png
lopunny,pokemon\images\lopunny.png,pokemon_distorted\lopunny.png
lotad,pokemon\images\lotad.png,pokemon_distorted\lotad.png
loudred,pokemon\images\loudred.png,pokemon_distorted\loudred.png
lucario,pokemon\images\lucario.png,pokemon_distorted\lucario.png
ludicolo,pokemon\images\ludicolo.png,pokemon_distorted\ludicolo.png
lugia,pokemon\images\lugia.png,pokemon_distorted\lugia.png
lumineon,pokemon\images\lumineon.png,pokemon_distorted\lumineon.png
lunala,pokemon\images\lunala.png,pokemon_distorted\lunala.png
lunatone,pokemon\images\lunatone.png,pokemon_distorted\lunatone.png
lurantis,pokemon\images\lurantis.png,pokemon_distorted\lurantis.png
luvdisc,pokemon\images\luvdisc.png,pokemon_distorted\luvdisc.png
luxio,pokemon\images\luxio.png,pokemon_distorted\luxio.png
luxray,pokemon\images\luxray.png,pokemon_distorted\luxray.png
lycanroc-midday,pokemon\images\lycanroc-midday.png,pokemon_distorted\lycanroc-midday.png
machamp,pokemon\images\machamp.png,pokemon_distorted\machamp.png
machoke,pokemon\images\machoke.png,pokemon_distorted\machoke.png
machop,pokemon\images\machop.png,pokemon_distorted\machop.png
magby,pokemon\images\magby.png,pokemon_distorted\magby.png
magcargo,pokemon\images\magcargo.png,pokemon_distorted\magcargo.png
magearna,pokemon\images\magearna.png,pokemon_distorted\magearna.png
magikarp,pokemon\images\magikarp.png,pokemon_distorted\magikarp.png
magmar,pokemon\images\magmar.png,pokemon_distorted\magmar.png
magmortar,pokemon\images\magmortar.png,pokemon_distorted\magmortar.png
magnemite,pokemon\images\magnemite.png,pokemon_distorted\magnemite.png
magneton,pokemon\images\magneton.png,pokemon_distorted\magneton.png
magnezone,pokemon\images\magnezone.png,pokemon_distorted\magnezone.png
